PLAYER_ID,PLAYER_NAME,TEAM
1628964,Mo Bamba,UTA
1642885,Mohamed Diawara,NYK
1628420,Monte Morris,IND
1629021,Moritz Wagner,ORL
1630541,Moses Moody,GSW
1631338,Mouhamadou Gueye,CHI
1631243,Mouhamed Gueye,ATL
1630619,Moussa Cisse,DAL
1631217,Moussa Diabaté,CHA
1626167,Myles Turner,MIL
1642066,Myron Gardner,MIA
1642368,N'Faly Dante,ATL
1641772,Nae'Qwan Tomlin,CLE
1630230,Naji Marshall,DAL
1631466,Nate Williams,GSW
1629675,Naz Reid,MIN
1629674,Neemias Queta,BOS
1629651,Nic Claxton,BKN
1630208,Nick Richards,CHI
1641733,Nick Smith Jr.,LAL
1629638,Nickeil Alexander-Walker,ATL
201587,Nicolas Batum,LAC
1628502,Nigel Hayes-Davis,PHX
203999,Nikola Jokić,DEN
1631107,Nikola Jović,MIA
1642260,Nikola Topić,OKC
202696,Nikola Vučević,BOS
1642363,Nique Clifford,SAC
1642855,Noa Essengue,CHI
1641730,Noah Clowney,BKN
1642869,Noah Penda,ORL
1642849,Nolan Traore,BKN
1641807,Norchad Omier,LAC
1626181,Norman Powell,MIA
1628384,OG Anunoby,NYK
1630167,Obi Toppin,IND
1630534,Ochai Agbaji,BKN
1630846,Olivier Sarr,CLE
1641765,Olivier-Maxence Prosper,MEM
1630209,Omer Yurtseven,GSW
1630168,Onyeka Okongwu,ATL
1631115,Orlando Robinson,ORL
1631131,Oscar Tshiebwe,UTA
1642345,Oso Ighodaro,PHX
1631172,Ousmane Dieng,MIL
1629023,P.J. Washington,DAL
1641790,PJ Hall,CHA
1642359,Pacôme Dadiet,NYK
1631094,Paolo Banchero,ORL
1627783,Pascal Siakam,IND
1626192,Pat Connaughton,CHA
1630311,Pat Spencer,GSW
1631116,Patrick Baldwin Jr.,SAC
1630172,Patrick Williams,CHI
202331,Paul George,PHI
1630194,Paul Reed,DET
1630202,Payton Pritchard,BOS
1642362,Payton Sandfort,OKC
1641796,Pelle Larsson,MIA
1631250,Pete Nance,MIL
1631212,Peyton Watson,DEN
1630173,Precious Achiuwa,SAC
1629656,Quentin Grimes,PHI
1631245,Quenton Jackson,IND
1642366,Quinten Post,GSW
1629628,RJ Barrett,TOR
1642853,Rasheer Fleming,PHX
1642484,RayJ Dennis,ATL
1641712,Rayan Rupert,MEM
1642263,Reed Sheppard,HOU
1642434,Riley Minix,CLE
1642265,Rob Dillingham,CHI
1629057,Robert Williams III,POR
1642911,Rocco Zikarsky,MIN
1631199,Ron Harper Jr.,BOS
1641842,Ronald Holland II,DET
1626220,Royce O'Neale,PHX
203497,Rudy Gobert,MIN
1629060,Rui Hachimura,LAL
201566,Russell Westbrook,SAC
1642346,Ryan Dunn,PHX
1641750,Ryan Kalkbrenner,CHA
1642948,Ryan Nembhard,DAL
1631157,Ryan Rollins,MIL
1630180,Saddiq Bey,NOP
1630573,Sam Hauser,BOS
1630241,Sam Merrill,CLE
1630572,Sandro Mamukelashvili,TOR
1630583,Santi Aldama,MEM
1630703,Scoot Henderson,POR
1630567,Scottie Barnes,TOR
